,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,weekday,Holiday,downseason,night_hour_sq,night_hour_cu
0,2022-02-28 19:00:00,55.848333333333336,53.9335,62.46495833333333,74.597625,2022-02-28 11:00:00,0.0,28-02-2022,Monday,0,0,0.0,0.0
1,2022-02-28 19:20:00,56.367583333333336,54.1855,62.90249166666667,75.14263333333334,2022-02-28 11:20:00,0.3333333333333339,28-02-2022,Monday,0,0,0.11111111111111151,0.037037037037037236
2,2022-02-28 19:40:00,56.54166666666666,54.67591666666667,63.7957,75.77931666666666,2022-02-28 11:40:00,0.6666666666666661,28-02-2022,Monday,0,0,0.44444444444444364,0.2962962962962955
3,2022-02-28 20:00:00,56.38725,54.55508333333333,63.65656666666667,75.58139166666666,2022-02-28 12:00:00,1.0,28-02-2022,Monday,0,0,1.0,1.0
4,2022-02-28 20:20:00,57.79058333333333,55.81891666666667,64.609325,76.58911666666667,2022-02-28 12:20:00,1.333333333333334,28-02-2022,Monday,0,0,1.7777777777777795,2.3703703703703733
5,2022-02-28 20:40:00,55.48883333333334,53.41333333333333,62.15420833333334,74.35094166666667,2022-02-28 12:40:00,1.666666666666666,28-02-2022,Monday,0,0,2.777777777777776,4.629629629629624
6,2022-02-28 21:00:00,56.69791666666666,54.589000000000006,63.02883333333334,75.14750833333333,2022-02-28 13:00:00,2.0,28-02-2022,Monday,0,0,4.0,8.0
7,2022-02-28 21:20:00,58.93375,56.9115,65.597325,77.54835,2022-02-28 13:20:00,2.333333333333334,28-02-2022,Monday,0,0,5.444444444444447,12.703703703703713
8,2022-02-28 21:40:00,58.46025,56.74016666666667,65.52104166666666,77.10780833333332,2022-02-28 13:40:00,2.666666666666666,28-02-2022,Monday,0,0,7.111111111111108,18.96296296296295
9,2022-02-28 22:00:00,59.29233333333334,56.944833333333335,64.54830833333334,76.75595,2022-02-28 14:00:00,3.0,28-02-2022,Monday,0,0,9.0,27.0
10,2022-02-28 22:20:00,58.148,56.117,62.383275,74.93900000000001,2022-02-28 14:20:00,3.333333333333334,28-02-2022,Monday,0,0,11.111111111111114,37.03703703703706
11,2022-02-28 22:40:00,59.38758333333334,57.191750000000006,64.43745833333332,76.9391,2022-02-28 14:40:00,3.666666666666666,28-02-2022,Monday,0,0,13.44444444444444,49.29629629629627
12,2022-02-28 23:00:00,56.979,54.89574999999999,61.92628333333333,74.71208333333334,2022-02-28 15:00:00,4.0,28-02-2022,Monday,0,0,16.0,64.0
13,2022-02-28 23:20:00,59.40541666666667,57.186083333333336,65.06765,77.37141666666666,2022-02-28 15:20:00,4.333333333333334,28-02-2022,Monday,0,0,18.777777777777782,81.37037037037041
